minSup;length;numCands;numAlphUsed;numSetsUsed;numSets;countSum;dbSize;ctSize;totalSize;seconds;memUsage
0;0;0;16;0;0;6974;27113;132;27245;0;3170304
0;0;1;14;1;1;6275;23837;126;23963;0;3395584
0;0;2;13;1;1;5576;20674;121;20794;0;3403776
0;0;3;12;2;2;4893;17792;133;17926;0;3411968
0;0;4;12;3;3;4360;15975;159;16133;0;3420160
0;0;5;12;4;4;3980;14447;177;14624;0;3428352
0;0;6;12;5;5;3651;13152;198;13350;0;3428352
0;0;7;12;6;6;3358;12009;215;12224;0;3436544
0;0;8;12;7;7;3121;11009;239;11247;0;3436544
0;0;9;12;8;8;2832;10149;260;10409;0;3444736
0;0;10;12;8;8;2682;9318;271;9589;0;3444736
0;0;11;12;9;9;2347;8614;295;8908;0;3444736
0;0;12;12;9;9;2149;7916;298;8214;0;3444736
0;0;13;12;10;10;1942;7317;321;7639;0;3444736
0;0;14;12;11;11;1755;6856;365;7222;0;3444736
0;0;15;12;12;12;1660;6513;396;6909;0;3444736
0;0;16;12;12;12;1609;6197;404;6601;0;3489792
0;0;17;12;12;12;1554;5879;410;6289;0;3489792
0;0;18;12;12;12;1498;5598;415;6013;0;3489792
0;0;19;12;12;12;1458;5417;419;5836;0;3489792
0;0;20;10;13;13;1436;5253;413;5665;0;3489792
0;0;21;10;14;14;1304;5086;453;5539;0;3489792
0;0;22;10;14;14;1282;4935;460;5395;0;3489792
0;0;23;10;15;15;1213;4783;505;5288;0;3489792
0;0;24;10;16;16;1171;4665;528;5193;0;3489792
0;0;25;10;16;16;1141;4537;532;5069;0;3489792
0;0;26;9;17;17;1127;4437;545;4981;0;3493888
0;0;27;9;18;18;1098;4340;569;4909;0;3502080
0;0;28;9;18;18;1071;4203;573;4776;0;3502080
0;0;29;9;19;19;1054;4103;601;4704;0;3502080
0;0;30;9;20;20;997;4008;643;4650;0;3502080
0;0;31;9;21;21;973;3923;689;4612;0;3502080
0;0;32;9;22;22;946;3839;736;4574;0;3502080
0;0;33;9;23;23;927;3767;785;4552;0;3502080
0;0;34;7;24;24;923;3730;777;4507;0;3502080
0;0;35;7;24;24;914;3673;782;4455;0;3502080
0;0;36;6;25;25;908;3634;797;4431;0;3502080
0;0;37;6;25;25;900;3576;803;4379;0;3502080
0;0;38;4;26;26;898;3555;794;4349;1;3502080
0;0;39;4;26;26;893;3516;800;4317;1;3502080
0;0;40;4;25;25;891;3496;791;4287;1;3502080
0;0;41;3;26;26;889;3479;801;4281;1;3502080
0;0;42;2;26;26;887;3459;792;4251;1;3502080
0;0;47;2;26;26;887;3459;792;4251;1;3502080
