minSup;length;numCands;numAlphUsed;numSetsUsed;numSets;countSum;dbSize;ctSize;totalSize;seconds;memUsage
0;0;0;75;0;0;118252;687120;1060;688180;0;8036352
0;0;1;75;1;1;115068;666103;1093;667196;0;10563584
0;0;2;75;2;2;111899;645424;1126;646550;0;10563584
0;0;3;75;3;3;108756;625197;1163;626360;0;10563584
0;0;4;75;4;4;105657;605587;1203;606790;0;10563584
0;0;5;75;5;5;102670;586883;1227;588110;0;10563584
0;0;6;75;6;6;99693;568518;1271;569789;0;10563584
0;0;7;75;7;7;96770;550910;1293;552203;0;10575872
0;0;8;75;8;8;93840;533494;1314;534808;0;10866688
0;0;9;75;9;9;91037;517267;1365;518632;0;10940416
0;0;10;75;10;10;88254;501163;1390;502554;0;11055104
0;0;11;75;11;11;85597;486356;1415;487771;0;11079680
0;0;12;75;12;12;83133;472342;1435;473776;0;11116544
0;0;13;75;13;13;80574;458440;1490;459930;0;11141120
0;0;14;75;14;14;78073;445171;1518;446690;0;11177984
0;0;15;74;15;15;76093;433699;1523;435222;0;11190272
0;0;16;74;15;15;74113;422425;1527;423952;0;11202560
0;0;17;74;16;16;72018;411316;1551;412868;0;11264000
0;0;18;74;17;17;69826;400599;1579;402177;0;11288576
0;0;19;74;18;18;67751;390481;1612;392093;0;11313152
0;0;20;74;19;19;65792;380497;1630;382127;0;11337728
0;0;21;74;20;20;63990;371026;1648;372675;0;11337728
0;0;22;74;21;21;62348;362420;1678;364098;0;11386880
0;0;23;74;22;22;60553;354459;1737;356196;0;11423744
0;0;24;73;23;23;59174;346685;1747;348431;0;11431936
0;0;25;73;24;24;57551;339098;1764;340862;0;11452416
0;0;26;73;25;25;56111;332112;1820;333932;0;11472896
0;0;27;73;26;26;54670;325490;1838;327328;0;11493376
0;0;28;73;27;27;53179;319207;1870;321077;0;11534336
0;0;29;73;28;28;51902;313589;1904;315493;0;11550720
0;0;30;73;28;28;51138;308614;1911;310525;0;11550720
0;0;31;73;29;29;49957;304104;1933;306037;0;11550720
0;0;32;72;30;30;49173;299809;1938;301747;0;11902976
0;0;33;71;31;31;48430;295015;1945;296960;0;11902976
0;0;34;71;32;32;47587;290864;2009;292873;0;11902976
0;0;35;70;33;33;46891;286823;2014;288837;0;11902976
0;0;36;68;34;34;46371;282699;2006;284706;0;11919360
0;0;37;68;34;34;45670;278647;2012;280659;0;11919360
0;0;38;67;35;35;45094;274649;2027;276675;0;11919360
0;0;39;67;36;36;44299;270702;2047;272749;0;11919360
0;0;40;67;36;36;43779;267067;2055;269122;0;11919360
0;0;41;67;36;36;43158;263586;2061;265646;0;11935744
0;0;42;67;37;37;42225;260138;2137;262275;0;11943936
0;0;43;67;38;38;41333;256732;2181;258913;0;11960320
0;0;44;67;38;38;40868;253481;2189;255670;0;11960320
0;0;45;65;39;39;40474;250276;2181;252457;0;11960320
0;0;46;64;40;40;39968;247507;2187;249693;0;11960320
0;0;47;63;41;41;39304;243652;2192;245844;0;11960320
0;0;48;61;42;42;38901;240411;2184;242595;0;11960320
0;0;49;61;43;43;38157;238051;2224;240275;0;11960320
0;0;50;61;43;43;37624;235395;2229;237624;0;11997184
0;0;51;61;44;44;37171;233195;2315;235510;0;11997184
0;0;52;61;44;44;36802;231050;2321;233372;0;11997184
0;0;53;61;44;44;36520;228928;2331;231259;0;11997184
0;0;54;61;45;45;36122;226829;2402;229231;0;11997184
0;0;55;61;45;45;35677;224148;2408;226557;1;11997184
0;0;56;61;45;45;35411;222101;2418;224519;1;11997184
0;0;57;61;46;46;35080;220088;2457;222544;1;11997184
0;0;58;59;47;47;34852;218103;2449;220552;1;11997184
0;0;59;58;48;48;34595;216194;2457;218651;1;11997184
0;0;60;58;49;49;34183;214302;2484;216786;1;11997184
0;0;61;58;49;49;33800;212064;2489;214553;1;11997184
0;0;62;56;50;50;33595;210260;2481;212740;1;11997184
0;0;63;56;51;51;33265;208452;2504;210956;1;11997184
0;0;64;56;52;52;32899;206671;2573;209244;1;11997184
0;0;65;56;52;52;32668;204808;2588;207396;1;11997184
0;0;66;56;52;52;32424;203018;2597;205615;1;11997184
0;0;67;56;53;53;32139;201302;2618;203919;1;11997184
0;0;68;56;54;54;31842;199584;2658;202243;1;11997184
0;0;69;54;55;55;31667;198019;2650;200669;1;11997184
0;0;70;54;56;56;31296;196424;2697;199121;1;11997184
0;0;71;54;57;57;30981;194887;2723;197610;1;11997184
0;0;72;54;58;58;30710;193378;2750;196128;1;11997184
0;0;73;54;58;58;30508;191872;2761;194633;1;12017664
0;0;74;54;59;59;30108;190416;2791;193207;1;12017664
0;0;75;54;59;59;29805;188844;2796;191640;1;12062720
0;0;76;54;60;60;29509;187410;2845;190256;1;12062720
0;0;77;54;61;61;29150;185599;2894;188492;1;12062720
0;0;78;54;61;61;28922;184099;2905;187004;1;12062720
0;0;79;54;61;61;28747;182704;2918;185622;1;12062720
0;0;80;53;62;62;28601;181435;2931;184366;1;12062720
0;0;81;53;62;62;28404;180156;2936;183092;1;12062720
0;0;82;53;63;63;28233;179013;2963;181977;1;12075008
0;0;83;52;63;63;28113;177895;2955;180850;1;12111872
0;0;84;51;64;64;27976;176778;2966;179744;1;12111872
0;0;85;51;64;64;27829;175663;2975;178638;1;12111872
0;0;86;51;65;65;27550;174526;3008;177534;1;12111872
0;0;87;51;65;65;27253;172827;3013;175840;1;12386304
0;0;88;50;66;66;27101;171712;3019;174731;1;12386304
0;0;89;49;67;67;26949;170598;3025;173623;1;12386304
0;0;90;49;68;68;26801;169508;3078;172586;1;12386304
0;0;91;48;69;69;26661;168430;3091;171521;1;12386304
0;0;92;48;70;70;26424;167372;3133;170505;1;12386304
0;0;93;48;70;70;26208;166040;3203;169244;1;12386304
0;0;94;47;71;71;26071;164988;3238;168225;1;12386304
0;0;95;46;72;72;25961;164011;3250;167262;1;12386304
0;0;96;46;73;73;25774;163019;3296;166315;1;12386304
0;0;97;46;74;74;25416;162104;3373;165477;1;12394496
0;0;98;46;74;74;25293;161156;3380;164536;1;12394496
0;0;99;46;75;75;25105;160209;3408;163616;1;12410880
0;0;100;46;76;76;24940;159224;3441;162666;1;12447744
0;0;101;44;77;77;24842;158300;3433;161733;1;12472320
0;0;102;44;77;77;24720;157343;3460;160804;1;12472320
0;0;103;46;78;78;24585;156694;3528;160223;1;12472320
0;0;104;46;79;79;24402;155801;3574;159375;1;12472320
0;0;105;46;80;80;24278;154950;3601;158550;1;12472320
0;0;106;46;81;81;24048;154065;3680;157744;1;12746752
0;0;107;46;82;82;23795;153231;3803;157034;1;12746752
0;0;108;46;83;83;23630;152431;3867;156298;1;12746752
0;0;109;46;84;84;23492;151571;3899;155470;1;12795904
0;0;110;46;85;85;23362;150816;3938;154754;1;12795904
0;0;111;46;85;85;23248;150035;3944;153979;1;12795904
0;0;112;46;86;86;23153;149261;3979;153240;1;12795904
0;0;113;46;87;87;23047;148495;4012;152508;1;12820480
0;0;114;45;88;88;22954;147746;4028;151774;1;12820480
0;0;115;45;89;89;22795;146996;4125;151121;1;12820480
0;0;116;45;89;89;22690;146189;4131;150320;1;12820480
0;0;117;45;90;90;22558;145462;4182;149644;1;12820480
0;0;118;45;90;90;22412;144504;4199;148703;1;12857344
0;0;119;44;91;91;22325;143812;4240;148052;1;12857344
0;0;120;44;92;92;22200;143104;4285;147390;1;12857344
0;0;121;44;92;92;22105;142440;4294;146735;1;12857344
0;0;122;43;92;92;22040;141800;4285;146085;1;12857344
0;0;123;43;93;93;21930;141145;4321;145466;1;12857344
0;0;124;43;93;93;21817;140315;4327;144642;1;12857344
0;0;125;42;94;94;21735;139645;4350;143994;1;12857344
0;0;126;42;95;95;21568;139020;4382;143402;1;12857344
0;0;127;42;96;96;21474;138398;4438;142836;1;12857344
0;0;128;42;97;97;21317;137810;4539;142349;1;12857344
0;0;129;42;98;98;21150;137235;4585;141820;1;12857344
0;0;130;42;98;98;21020;136509;4597;141106;1;12857344
0;0;131;42;99;99;20910;135928;4697;140625;1;12857344
0;0;132;42;100;100;20805;135295;4798;140093;1;12935168
0;0;133;42;100;100;20724;134595;4811;139406;1;12935168
0;0;134;41;100;100;20674;134088;4802;138890;1;12935168
0;0;135;41;101;101;20489;133500;4923;138423;1;12935168
0;0;136;41;102;102;20400;132937;4967;137904;1;12935168
0;0;137;39;102;102;20337;132382;4951;137332;1;12935168
0;0;138;39;102;102;20261;131779;4957;136736;1;12935168
0;0;139;39;103;103;20185;131234;4989;136223;1;12935168
0;0;140;39;103;103;20115;130598;5001;135599;1;12935168
0;0;141;39;104;104;20018;130076;5052;135128;1;12935168
0;0;142;39;104;104;19928;129400;5059;134459;1;12935168
0;0;143;39;105;105;19857;128879;5096;133975;1;12935168
0;0;144;39;106;106;19775;128357;5181;133538;2;12935168
0;0;145;39;105;105;19729;127888;5171;133060;2;12935168
0;0;146;39;106;106;19573;127338;5292;132630;2;12935168
0;0;147;39;107;107;19445;126721;5415;132137;2;12935168
0;0;148;39;107;107;19382;126224;5424;131648;2;12935168
0;0;149;39;108;108;19253;125768;5467;131235;2;12935168
0;0;150;39;109;109;19159;125239;5515;130754;2;12935168
0;0;151;39;110;110;19042;124727;5559;130286;2;12935168
0;0;152;39;111;111;18890;124173;5603;129776;2;12935168
0;0;153;39;111;111;18759;123396;5614;129010;2;13209600
0;0;154;39;112;112;18634;122915;5661;128576;2;13209600
0;0;155;39;113;113;18527;122352;5706;128058;2;13209600
0;0;156;38;114;114;18480;121906;5735;127641;2;13209600
0;0;157;37;115;115;18436;121485;5743;127228;2;13225984
0;0;158;37;116;116;18273;121082;5818;126900;2;13303808
0;0;159;37;117;117;18209;120654;5842;126496;2;13316096
0;0;160;36;117;117;18171;120260;5833;126093;2;13316096
0;0;161;36;118;118;18099;119780;5944;125724;2;13316096
0;0;162;36;118;118;18043;119351;5952;125303;2;13316096
0;0;163;38;119;119;17993;119187;6020;125207;2;13316096
0;0;164;37;120;120;17945;118728;6041;124769;2;13316096
0;0;165;37;120;120;17878;118298;6053;124351;2;13316096
0;0;166;37;121;121;17752;117909;6121;124030;2;13316096
0;0;167;37;122;122;17569;117527;6171;123697;2;13316096
0;0;168;37;122;122;17525;117125;6181;123306;2;13316096
0;0;169;37;122;122;17481;116698;6222;122920;2;13316096
0;0;170;37;123;123;17410;116296;6323;122619;2;13316096
0;0;171;37;124;124;17352;115857;6356;122213;2;13316096
0;0;172;37;125;125;17308;115481;6383;121864;2;13316096
0;0;173;37;125;125;17267;115123;6391;121515;2;13316096
0;0;174;37;125;125;17218;114777;6417;121194;2;13316096
0;0;175;37;126;126;17147;114380;6465;120845;2;13316096
0;0;176;37;126;126;17108;114045;6499;120544;2;13316096
0;0;177;37;127;127;16963;113740;6558;120298;2;13393920
0;0;178;37;128;128;16906;113393;6643;120036;2;13393920
0;0;179;37;129;129;16851;113026;6724;119750;2;13672448
0;0;180;36;130;130;16815;112730;6733;119462;2;13672448
0;0;181;36;129;129;16789;112449;6723;119172;2;13672448
0;0;182;36;130;130;16729;112232;6788;119020;2;13672448
0;0;183;35;130;130;16703;111952;6778;118730;2;13672448
0;0;184;35;131;131;16627;111657;6859;118515;2;13672448
0;0;185;35;132;132;16565;111286;6942;118228;2;13672448
0;0;186;35;133;133;16515;110986;6993;117979;2;13672448
0;0;187;35;134;134;16460;110697;7046;117743;2;13672448
0;0;188;34;134;134;16434;110417;7036;117454;2;13672448
0;0;189;34;135;135;16392;110136;7072;117208;2;13672448
0;0;190;33;136;136;16357;109875;7077;116953;2;13672448
0;0;191;33;136;136;16328;109598;7088;116687;2;13672448
0;0;192;33;136;136;16294;109309;7102;116411;2;13672448
0;0;193;33;137;137;16259;109034;7146;116180;2;13672448
0;0;194;33;138;138;16228;108769;7176;115945;2;13672448
0;0;195;31;137;137;16210;108466;7132;115598;2;13672448
0;0;196;31;137;137;16178;108175;7139;115314;2;13672448
0;0;197;30;137;137;16156;107934;7129;115063;2;13672448
0;0;198;29;138;138;16130;107694;7151;114845;2;13672448
0;0;199;29;138;138;16096;107382;7166;114548;2;13672448
0;0;200;29;139;139;16058;107124;7221;114345;2;13672448
0;0;201;29;140;140;16023;106878;7287;114165;2;13672448
0;0;202;29;141;141;15982;106629;7336;113966;2;13672448
0;0;203;29;141;141;15951;106381;7362;113743;2;13672448
0;0;204;29;141;141;15922;106143;7388;113531;2;13672448
0;0;205;29;141;141;15882;105842;7401;113242;2;13672448
0;0;206;29;141;141;15850;105576;7414;112990;2;13672448
0;0;207;29;142;142;15821;105341;7478;112819;2;13672448
0;0;208;29;143;143;15790;105129;7571;112701;2;13672448
0;0;209;28;143;143;15775;104957;7561;112518;2;13672448
0;0;210;28;144;144;15715;104772;7608;112380;2;13672448
0;0;211;28;145;145;15680;104544;7666;112211;2;13672448
0;0;212;27;145;145;15665;104372;7656;112028;2;13672448
0;0;213;27;146;146;15631;104136;7766;111902;2;13672448
0;0;214;27;146;146;15608;103967;7773;111740;2;13672448
0;0;215;27;147;147;15518;103830;7835;111664;2;13672448
0;0;216;27;148;148;15487;103636;7921;111557;2;13750272
0;0;217;27;149;149;15463;103416;8021;111436;2;13750272
0;0;218;27;150;150;15414;103219;8100;111319;2;13750272
0;0;219;27;151;151;15304;103041;8217;111258;2;13750272
0;0;220;27;152;152;15274;102849;8303;111152;2;13750272
0;0;221;27;152;152;15162;102641;8327;110968;2;13750272
0;0;222;26;153;153;15134;102422;8334;110756;2;13750272
0;0;223;26;154;154;15040;102205;8396;110601;2;13750272
0;0;224;26;155;155;15000;102004;8478;110482;2;13750272
0;0;225;26;155;155;14974;101810;8488;110298;2;13750272
0;0;226;24;156;156;14962;101669;8477;110146;2;13750272
0;0;227;24;157;157;14925;101489;8551;110040;2;13754368
0;0;228;24;158;158;14889;101311;8604;109915;2;14028800
0;0;229;24;159;159;14814;101139;8664;109804;2;14028800
0;0;230;24;160;160;14792;100972;8716;109688;2;14028800
0;0;231;24;161;161;14769;100792;8804;109596;2;14028800
0;0;232;22;162;162;14758;100662;8793;109456;2;14106624
0;0;233;22;162;162;14736;100477;8801;109277;2;14106624
0;0;234;22;163;163;14714;100302;8825;109127;3;14106624
0;0;235;20;164;164;14700;100141;8815;108956;3;14106624
0;0;236;20;165;165;14664;99987;8862;108850;3;14106624
0;0;237;20;165;165;14645;99803;8879;108682;3;14106624
0;0;238;18;166;166;14635;99684;8868;108552;3;14106624
0;0;239;18;167;167;14564;99546;8930;108475;3;14106624
0;0;240;18;168;168;14514;99375;8991;108366;3;14106624
0;0;241;18;169;169;14485;99224;9095;108319;3;14106624
0;0;242;18;169;169;14469;99063;9110;108173;3;14106624
0;0;243;18;170;170;14439;98887;9196;108083;3;14106624
0;0;244;16;171;171;14430;98778;9185;107964;3;14106624
0;0;245;16;172;172;14407;98600;9295;107895;3;14106624
0;0;246;16;172;172;14392;98457;9301;107758;3;14106624
0;0;247;14;173;173;14380;98317;9291;107607;3;14106624
0;0;248;14;174;174;14349;98153;9368;107521;3;14106624
0;0;249;14;174;174;14325;97963;9378;107341;3;14106624
0;0;250;14;175;175;14305;97822;9463;107285;3;14106624
0;0;251;14;175;175;14290;97661;9519;107180;3;14106624
0;0;252;14;176;176;14212;97513;9637;107151;3;14106624
0;0;253;14;177;177;14193;97384;9708;107093;3;14106624
0;0;254;14;177;177;14180;97251;9736;106987;3;14106624
0;0;255;14;178;178;14156;97133;9780;106913;3;14106624
0;0;257;12;179;179;14148;97035;9769;106804;3;14106624
0;0;258;12;179;179;14135;96914;9784;106698;3;14106624
0;0;259;12;180;180;14113;96783;9890;106673;3;14106624
0;0;260;12;181;181;14064;96642;10018;106660;3;14106624
0;0;261;12;182;182;14042;96514;10075;106589;3;14106624
0;0;262;12;183;183;13994;96402;10162;106565;3;14106624
0;0;263;12;183;183;13989;96367;10177;106544;3;14184448
0;0;264;12;184;184;13972;96237;10209;106447;3;14184448
0;0;265;12;185;185;13932;96115;10273;106388;3;14184448
0;0;266;12;186;186;13914;95989;10347;106336;3;14184448
0;0;268;12;187;187;13860;95814;10490;106304;3;14184448
0;0;269;12;188;188;13837;95687;10545;106231;3;14184448
0;0;270;12;189;189;13816;95553;10598;106151;3;14184448
