minSup;length;numCands;numAlphUsed;numSetsUsed;numSets;countSum;dbSize;ctSize;totalSize;seconds;memUsage
0;0;0;19;0;0;750;3058;172;3231;0;2699264
0;0;1;17;1;1;700;2793;167;2960;0;2699264
0;0;2;16;1;1;650;2534;161;2695;0;2699264
0;0;3;16;2;2;601;2317;179;2496;0;2699264
0;0;4;16;3;3;553;2108;197;2305;0;2699264
0;0;5;16;4;4;509;1913;219;2132;0;2699264
0;0;6;16;5;5;464;1730;239;1969;0;2699264
0;0;7;16;6;6;419;1570;261;1831;0;2699264
0;0;8;16;7;7;382;1487;284;1770;0;2699264
0;0;9;16;8;8;356;1434;304;1738;0;2699264
0;0;10;15;8;8;352;1402;297;1699;0;2699264
0;0;11;15;9;9;331;1355;318;1673;0;2699264
0;0;12;15;10;10;315;1308;340;1649;0;2699264
0;0;13;15;10;10;307;1272;345;1616;0;2699264
0;0;14;15;10;10;303;1246;349;1596;0;2699264
0;0;15;13;11;11;301;1229;342;1571;0;2699264
0;0;16;13;11;11;296;1201;347;1548;0;2699264
0;0;17;11;12;12;295;1191;338;1530;0;2699264
0;0;24;11;12;12;293;1177;344;1521;0;2699264
0;0;25;10;12;12;292;1167;335;1503;0;2699264
0;0;26;10;12;12;287;1150;339;1489;0;2699264
0;0;27;10;12;12;287;1150;339;1489;0;2699264
